         hand_p1_b15  |                hand  |Hall A Neutron Detector, Plane 1 Bar 15  |                                 0*cm -5*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0080FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4206 
         hand_p1_b16  |                hand  |Hall A Neutron Detector, Plane 1 Bar 16  |                                0*cm -15*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0000FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4221 
         hand_p1_b17  |                hand  |Hall A Neutron Detector, Plane 1 Bar 17  |                                0*cm -25*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0080FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4237 
         hand_p1_b18  |                hand  |Hall A Neutron Detector, Plane 1 Bar 18  |                                0*cm -35*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0000FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4254 
         hand_p1_b19  |                hand  |Hall A Neutron Detector, Plane 1 Bar 19  |                                0*cm -45*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0080FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4272 
         hand_p1_b20  |                hand  |Hall A Neutron Detector, Plane 1 Bar 20  |                                0*cm -55*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0000FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4291 
         hand_p1_b21  |                hand  |Hall A Neutron Detector, Plane 1 Bar 21  |                                0*cm -65*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0080FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4311 
         hand_p1_b22  |                hand  |Hall A Neutron Detector, Plane 1 Bar 22  |                                0*cm -75*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0000FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4332 
         hand_p1_b23  |                hand  |Hall A Neutron Detector, Plane 1 Bar 23  |                                0*cm -85*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0080FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4354 
         hand_p1_b24  |                hand  |Hall A Neutron Detector, Plane 1 Bar 24  |                                0*cm -95*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0000FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4377 
         hand_p1_b25  |                hand  |Hall A Neutron Detector, Plane 1 Bar 25  |                               0*cm -105*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0080FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4401 
         hand_p1_b26  |                hand  |Hall A Neutron Detector, Plane 1 Bar 26  |                               0*cm -115*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0000FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4426 
         hand_p1_b27  |                hand  |Hall A Neutron Detector, Plane 1 Bar 27  |                               0*cm -125*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0080FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4452 
         hand_p1_b28  |                hand  |Hall A Neutron Detector, Plane 1 Bar 28  |                               0*cm -135*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0000FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4479 
         hand_p1_b29  |                hand  |Hall A Neutron Detector, Plane 1 Bar 29  |                               0*cm -145*cm -15*cm  |                       0*deg 0*deg 0*deg  | 0080FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4507 
          hand_p2_b0  |                hand  |Hall A Neutron Detector, Plane 1 Bar 0  |                              0*cm 143.75*cm -5*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4201 
          hand_p2_b1  |                hand  |Hall A Neutron Detector, Plane 1 Bar 1  |                              0*cm 131.25*cm -5*cm  |                       0*deg 0*deg 0*deg  | A9F5F2   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4201 
          hand_p2_b2  |                hand  |Hall A Neutron Detector, Plane 1 Bar 2  |                              0*cm 118.75*cm -5*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4202 
          hand_p2_b3  |                hand  |Hall A Neutron Detector, Plane 1 Bar 3  |                              0*cm 106.25*cm -5*cm  |                       0*deg 0*deg 0*deg  | A9F5F2   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4204 
          hand_p2_b4  |                hand  |Hall A Neutron Detector, Plane 1 Bar 4  |                               0*cm 93.75*cm -5*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4207 
          hand_p2_b5  |                hand  |Hall A Neutron Detector, Plane 1 Bar 5  |                               0*cm 81.25*cm -5*cm  |                       0*deg 0*deg 0*deg  | A9F5F2   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4211 
