                rhrs  |                root  |                          RHRS  |                             0*cm 213.5*cm 1038*cm  |                       0*deg 0*deg 0*deg  | B0E0E6   |                 Box  |                                  358.15*cm 518.5*cm 1038*cm  |                      |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
             rdipole  |                rhrs  |            RHRS Dipole Magnet  |                              0*cm 626.5*cm -42*cm  |                      0*deg 90*deg 0*deg  | B0E0E6   |                Tube  |             666.824*cm 1013.176*cm 110.63*cm 270*deg 45*deg  |                      |   dipole_1.17591GeV  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            rdipole1  |                rhrs  |           RHRS Dipole Magnet1  |                             0*cm -213.5*cm -42*cm  |                      0*deg 90*deg 0*deg  | B0E0E6   |                Tube  |                    0*cm 173.176*cm 110.63*cm 240*deg 30*deg  |                      |   dipole_1.17591GeV  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            rdipole2  |                rhrs  |           RHRS Dipole Magnet2  |                           0*cm 32.53*cm 551.97*cm  |                      0*deg 90*deg 0*deg  | B0E0E6   |                Tube  |                    0*cm 173.176*cm 110.63*cm 315*deg 30*deg  |                      |   dipole_1.17591GeV  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            rdipole3  |                rhrs  |           RHRS Dipole Magnet3  |                             0*cm -213.5*cm -42*cm  |                      0*deg 90*deg 0*deg  | 000000   |                Tube  |                         0*cm 220*cm 110.63*cm 60*deg 30*deg  |                      |            no_field  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
            rdipole4  |                rhrs  |           RHRS Dipole Magnet2  |                           0*cm 32.53*cm 551.97*cm  |                      0*deg 90*deg 0*deg  | 000000   |                Tube  |                        0*cm 220*cm 111.63*cm 135*deg 30*deg  |                      |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
                 rq1  |                rhrs  |                RHRS Q1 Magnet  |                            0*cm -213.5*cm -829*cm  |                       0*deg 0*deg 0*deg  | B0E0E6   |                Tube  |                           0*cm 45.72*cm 40*cm 0*deg 360*deg  |                      |       q1_1.17591GeV  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
                 rq2  |                rhrs  |                RHRS Q2 Magnet  |                            0*cm -213.5*cm -545*cm  |                       0*deg 0*deg 0*deg  | B0E0E6   |                Tube  |                           0*cm 74.93*cm 90*cm 0*deg 360*deg  |                      |       q2_1.17591GeV  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
                 rq3  |                rhrs  |                RHRS Q3 Magnet  |                          0*cm 202.42*cm 721.92*cm  |                      45*deg 0*deg 0*deg  | B0E0E6   |                Tube  |                           0*cm 74.93*cm 90*cm 0*deg 360*deg  |                      |       q3_1.17591GeV  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
